AbnormalResources,AntiDebug,BrowserReferences,CompanyName,CryptoUsed,DomainNames,Dropper,FileSize,Filename,HidingImports,IllegitimatePrograms,MalwareFunctions,MalwareType,MatchingCompiler,Overlay,PEiDSignature,Packed,PossibleCompilersCount,UndesirableBehavior,WindowsNativeAPI
False,False,False,unknown,False,False,False,29024,6c36dc02516e7bc3ae139dac05b5a8eb0b1c00116e647b91596dfb4f79c8d6f1,False,True,False,koutodoor,Microsoft Visual C++,False,False,True,1,False,True
False,False,False,unknown,False,False,False,94267,6c36b64f4b57cee8426d312fea04c2b894d1e0f71fbce6578a0d8038e96519e2,True,False,False,worm,unknown,True,True,True,0,False,False
False,True,False,Sysinternals - www.sysinternals.com,False,True,False,138240,696a05f9826d0ffc75be4508430a5429d272d3a0cc02a2936cee87957b58eceb,False,False,True,zbot,unknown,True,False,False,2,False,False
False,True,False,unknown,False,False,False,52064,6961322e8d792ddbdaf005cc3c7870495ff29ee3e7da328e3cfa74ed5f0983c1,False,True,False,farfli,unknown,False,False,True,0,False,True
False,True,False,unknown,False,False,False,22752,696b45c56bb9d349b194bac015a6200f316a835825b1cf51ddead570e6290488,False,True,False,farfli,unknown,False,False,True,0,True,True
False,True,False,unknown,False,False,False,22880,696d74e559347e1fd4f8621bca271fa215b7ecd83a5ee7b2c820dd7af86fccec,False,True,False,farfli,unknown,False,False,True,0,True,True
False,False,False,unknown,False,False,False,28864,7dae79b8fed9bc3016d2af06e16894617bb43cf656c879dcbf1d67326edf6dcf,False,True,False,rootkit,unknown,False,False,True,0,False,True
False,False,False,unknown,False,False,False,8192,46445ddbac4de5b50ff84ccd2717c27ab3f8b60bc1efa7ca2c58ce9e966ef956,True,False,False,dldr,unknown,False,True,True,0,False,False
False,False,False,unknown,False,False,False,28384,464f385ba0e6181fe2448f72c2163525228fce8debf898a9d512112767277d9a,False,True,False,rootkit,unknown,False,False,True,0,False,True
False,False,False,unknown,False,False,False,305664,4d0d48ac191d0ea840721654c36a3c5a82897c7b63428f6affcd8764a8fc8b58,False,False,False,bancos,unknown,True,False,True,0,False,False
False,True,False,unknown,False,False,False,23200,4e677e8ab73a8050b3256c0c1ff30611ddab43dc79f985f1c33c6df12f3400c9,False,True,False,farfli,unknown,False,False,True,0,True,True
False,False,False,unknown,False,False,False,38912,4e6e59b2456733d220830d2140edafbd431d7a9298bce60409a650998d12664f,True,False,False,kazy,unknown,False,False,True,0,False,False
